,Material ID,Material Desc,Time Interval,UOM,Min Total Quantity (BOX),Max Total Quantity (BOX),Average Total Quantity (BOX)
100,10505,CIPTADENT TP MAXI 12 COMPLETE 75GR,11:00-13:00,PCS,0.17,0.17,0.17
104,10505,CIPTADENT TP MAXI 12 COMPLETE 75GR,19:00-21:00,PCS,0.04,0.04,0.04
105,10506,CIPTADENT TP MAXI 12 COMPLETE 120GR,07:00-09:00,,,,
106,10506,CIPTADENT TP MAXI 12 COMPLETE 120GR,09:00-11:00,,,,
107,10506,CIPTADENT TP MAXI 12 COMPLETE 120GR,11:00-13:00,,,,
108,10506,CIPTADENT TP MAXI 12 COMPLETE 120GR,13:00-15:00,,,,
109,10506,CIPTADENT TP MAXI 12 COMPLETE 120GR,15:00-17:00,,,,
110,10506,CIPTADENT TP MAXI 12 COMPLETE 120GR,17:00-19:00,,,,
111,10506,CIPTADENT TP MAXI 12 COMPLETE 120GR,19:00-21:00,,,,
116,10507,CIPTADENT TP MAXI 12 COMPLETE 190GR,15:00-17:00,PCS,0.08,1.33,0.62
115,10507,CIPTADENT TP MAXI 12 COMPLETE 190GR,13:00-15:00,PCS,0.04,1.5,0.57
112,10507,CIPTADENT TP MAXI 12 COMPLETE 190GR,07:00-09:00,PCS,0.25,0.5,0.42
118,10507,CIPTADENT TP MAXI 12 COMPLETE 190GR,19:00-21:00,PCS,0.25,0.5,0.38
117,10507,CIPTADENT TP MAXI 12 COMPLETE 190GR,17:00-19:00,PCS,0.08,0.75,0.37
113,10507,CIPTADENT TP MAXI 12 COMPLETE 190GR,09:00-11:00,PCS,0.04,0.5,0.36
114,10507,CIPTADENT TP MAXI 12 COMPLETE 190GR,11:00-13:00,PCS,0.04,0.5,0.31
124,10514,MAMA LEMON JERUK NIPIS PCH 430ML,17:00-19:00,PCS,0.17,1.42,0.68
122,10514,MAMA LEMON JERUK NIPIS PCH 430ML,13:00-15:00,PCS,0.08,1,0.57
123,10514,MAMA LEMON JERUK NIPIS PCH 430ML,15:00-17:00,PCS,0.17,0.75,0.52
119,10514,MAMA LEMON JERUK NIPIS PCH 430ML,07:00-09:00,PCS,0.5,0.5,0.5
125,10514,MAMA LEMON JERUK NIPIS PCH 430ML,19:00-21:00,PCS,0.5,0.5,0.5
121,10514,MAMA LEMON JERUK NIPIS PCH 430ML,11:00-13:00,PCS,0.17,0.42,0.29
120,10514,MAMA LEMON JERUK NIPIS PCH 430ML,09:00-11:00,PCS,0.08,0.5,0.28
129,10515,MAMA LEMON JERUK NIPIS PCH 680ML,17:00-19:00,PCS,0.42,0.75,0.58
127,10515,MAMA LEMON JERUK NIPIS PCH 680ML,13:00-15:00,PCS,0.08,0.83,0.38
128,10515,MAMA LEMON JERUK NIPIS PCH 680ML,15:00-17:00,PCS,0.08,0.42,0.2
126,10515,MAMA LEMON JERUK NIPIS PCH 680ML,07:00-09:00,PCS,0.08,0.08,0.08
133,10516,MAMA LEMON JERUK NIPIS BTL 400 G,15:00-17:00,PCS,0.25,0.5,0.38
132,10516,MAMA LEMON JERUK NIPIS BTL 400 G,13:00-15:00,PCS,0.17,0.58,0.33
134,10516,MAMA LEMON JERUK NIPIS BTL 400 G,17:00-19:00,PCS,0.08,0.58,0.31
131,10516,MAMA LEMON JERUK NIPIS BTL 400 G,09:00-11:00,PCS,0.25,0.25,0.25
130,10516,MAMA LEMON JERUK NIPIS BTL 400 G,07:00-09:00,PCS,0.25,0.25,0.25
139,10517,MAMA LEMON JERUK NIPIS BTL 750 G,15:00-17:00,PCS,0.17,1.25,0.66
140,10517,MAMA LEMON JERUK NIPIS BTL 750 G,17:00-19:00,PCS,0.08,1,0.52
138,10517,MAMA LEMON JERUK NIPIS BTL 750 G,13:00-15:00,PCS,0.17,1.17,0.43
137,10517,MAMA LEMON JERUK NIPIS BTL 750 G,11:00-13:00,PCS,0.25,0.67,0.39
136,10517,MAMA LEMON JERUK NIPIS BTL 750 G,09:00-11:00,PCS,0.08,0.33,0.22
135,10517,MAMA LEMON JERUK NIPIS BTL 750 G,07:00-09:00,PCS,0.17,0.25,0.21
141,10517,MAMA LEMON JERUK NIPIS BTL 750 G,19:00-21:00,PCS,0.08,0.08,0.08
144,10524,MAMA LIME PCH 1500 G,11:00-13:00,PCS,0.33,0.33,0.33
145,10524,MAMA LIME PCH 1500 G,17:00-19:00,PCS,0.33,0.33,0.33
142,10524,MAMA LIME PCH 1500 G,07:00-09:00,PCS,0.17,0.17,0.17
143,10524,MAMA LIME PCH 1500 G,09:00-11:00,PCS,0.17,0.17,0.17
151,10525,KODOMO SHOWER GEL ORANGE BTL 200ML,17:00-19:00,PCS,0.12,0.25,0.23
147,10525,KODOMO SHOWER GEL ORANGE BTL 200ML,09:00-11:00,PCS,0.12,0.25,0.19
150,10525,KODOMO SHOWER GEL ORANGE BTL 200ML,15:00-17:00,PCS,0.08,0.25,0.17
146,10525,KODOMO SHOWER GEL ORANGE BTL 200ML,07:00-09:00,PCS,0.12,0.17,0.15
148,10525,KODOMO SHOWER GEL ORANGE BTL 200ML,11:00-13:00,PCS,0.08,0.25,0.14
149,10525,KODOMO SHOWER GEL ORANGE BTL 200ML,13:00-15:00,PCS,0.04,0.25,0.11
152,10526,KODOMO SHOWER GEL STRAWBERRY BTL 200ML,07:00-09:00,PCS,0.17,0.67,0.36
157,10526,KODOMO SHOWER GEL STRAWBERRY BTL 200ML,17:00-19:00,PCS,0.08,0.33,0.19
155,10526,KODOMO SHOWER GEL STRAWBERRY BTL 200ML,13:00-15:00,PCS,0.04,0.25,0.15
156,10526,KODOMO SHOWER GEL STRAWBERRY BTL 200ML,15:00-17:00,PCS,0.08,0.38,0.14
154,10526,KODOMO SHOWER GEL STRAWBERRY BTL 200ML,11:00-13:00,PCS,0.08,0.25,0.14
153,10526,KODOMO SHOWER GEL STRAWBERRY BTL 200ML,09:00-11:00,PCS,0.12,0.12,0.12
162,10527,KODOMO SHAMPOO GEL ORANGE BTL 200ML,15:00-17:00,PCS,0.08,0.62,0.27
161,10527,KODOMO SHAMPOO GEL ORANGE BTL 200ML,13:00-15:00,PCS,0.04,0.62,0.22
163,10527,KODOMO SHAMPOO GEL ORANGE BTL 200ML,17:00-19:00,PCS,0.04,0.54,0.17
160,10527,KODOMO SHAMPOO GEL ORANGE BTL 200ML,11:00-13:00,PCS,0.08,0.25,0.17
159,10527,KODOMO SHAMPOO GEL ORANGE BTL 200ML,09:00-11:00,PCS,0.04,0.25,0.16
158,10527,KODOMO SHAMPOO GEL ORANGE BTL 200ML,07:00-09:00,PCS,0.12,0.21,0.15
164,10527,KODOMO SHAMPOO GEL ORANGE BTL 200ML,19:00-21:00,PCS,0.12,0.12,0.12
169,10528,KODOMO SHAMPOO GEL STRAWBERRY BTL 200ML,15:00-17:00,PCS,0.08,1,0.32
168,10528,KODOMO SHAMPOO GEL STRAWBERRY BTL 200ML,13:00-15:00,PCS,0.04,1,0.3
165,10528,KODOMO SHAMPOO GEL STRAWBERRY BTL 200ML,07:00-09:00,PCS,0.12,0.5,0.22
170,10528,KODOMO SHAMPOO GEL STRAWBERRY BTL 200ML,17:00-19:00,PCS,0.08,0.38,0.2
166,10528,KODOMO SHAMPOO GEL STRAWBERRY BTL 200ML,09:00-11:00,PCS,0.04,0.25,0.17
167,10528,KODOMO SHAMPOO GEL STRAWBERRY BTL 200ML,11:00-13:00,PCS,0.04,0.29,0.15
171,10528,KODOMO SHAMPOO GEL STRAWBERRY BTL 200ML,19:00-21:00,PCS,0.04,0.12,0.08
178,10531,KODOMO SHAMPOO GEL ORANGE BTL 45ML,19:00-21:00,PCS,0.5,0.5,0.5
176,10531,KODOMO SHAMPOO GEL ORANGE BTL 45ML,15:00-17:00,PCS,0.08,0.5,0.26
175,10531,KODOMO SHAMPOO GEL ORANGE BTL 45ML,13:00-15:00,PCS,0.08,0.67,0.25
177,10531,KODOMO SHAMPOO GEL ORANGE BTL 45ML,17:00-19:00,PCS,0.08,0.5,0.24
174,10531,KODOMO SHAMPOO GEL ORANGE BTL 45ML,11:00-13:00,PCS,0.17,0.17,0.17
172,10531,KODOMO SHAMPOO GEL ORANGE BTL 45ML,07:00-09:00,PCS,0.08,0.17,0.14
173,10531,KODOMO SHAMPOO GEL ORANGE BTL 45ML,09:00-11:00,PCS,0.08,0.25,0.14
185,10532,KODOMO SHAMPOO GEL STRAWBERRY BTL 45ML,19:00-21:00,PCS,0.33,0.33,0.33
183,10532,KODOMO SHAMPOO GEL STRAWBERRY BTL 45ML,15:00-17:00,PCS,0.08,0.67,0.31
182,10532,KODOMO SHAMPOO GEL STRAWBERRY BTL 45ML,13:00-15:00,PCS,0.08,1.17,0.31
184,10532,KODOMO SHAMPOO GEL STRAWBERRY BTL 45ML,17:00-19:00,PCS,0.08,0.67,0.28
179,10532,KODOMO SHAMPOO GEL STRAWBERRY BTL 45ML,07:00-09:00,PCS,0.08,0.25,0.17
180,10532,KODOMO SHAMPOO GEL STRAWBERRY BTL 45ML,09:00-11:00,PCS,0.08,0.58,0.17
181,10532,KODOMO SHAMPOO GEL STRAWBERRY BTL 45ML,11:00-13:00,PCS,0.08,0.08,0.08
186,10535,KODOMO TB 2IN1 PRO KIDS1/SB MINT,07:00-09:00,PCS,0.25,0.33,0.29
187,10535,KODOMO TB 2IN1 PRO KIDS1/SB MINT,09:00-11:00,PCS,0.08,0.5,0.19
189,10535,KODOMO TB 2IN1 PRO KIDS1/SB MINT,15:00-17:00,PCS,0.08,0.25,0.15
188,10535,KODOMO TB 2IN1 PRO KIDS1/SB MINT,13:00-15:00,PCS,0.08,0.17,0.11
190,10535,KODOMO TB 2IN1 PRO KIDS1/SB MINT,17:00-19:00,PCS,0.08,0.08,0.08
192,10536,KODOMO TB 2IN1 PRO KIDS2/OR MINT,09:00-11:00,PCS,0.08,0.5,0.28
191,10536,KODOMO TB 2IN1 PRO KIDS2/OR MINT,07:00-09:00,PCS,0.25,0.25,0.25
193,10536,KODOMO TB 2IN1 PRO KIDS2/OR MINT,13:00-15:00,PCS,0.08,0.25,0.14
194,10536,KODOMO TB 2IN1 PRO KIDS2/OR MINT,15:00-17:00,PCS,0.08,0.25,0.14
195,10536,KODOMO TB 2IN1 PRO KIDS2/OR MINT,17:00-19:00,PCS,0.08,0.17,0.12
202,10548,EMERON LOVELY WHITE INSTA BRIGHT 100 ML,19:00-21:00,PCS,0.38,0.38,0.38
200,10548,EMERON LOVELY WHITE INSTA BRIGHT 100 ML,15:00-17:00,PCS,0.01,0.17,0.08
199,10548,EMERON LOVELY WHITE INSTA BRIGHT 100 ML,13:00-15:00,PCS,0.03,0.42,0.08
198,10548,EMERON LOVELY WHITE INSTA BRIGHT 100 ML,11:00-13:00,PCS,0.01,0.17,0.07
201,10548,EMERON LOVELY WHITE INSTA BRIGHT 100 ML,17:00-19:00,PCS,0.01,0.17,0.06
197,10548,EMERON LOVELY WHITE INSTA BRIGHT 100 ML,09:00-11:00,PCS,0.01,0.08,0.03
196,10548,EMERON LOVELY WHITE INSTA BRIGHT 100 ML,07:00-09:00,PCS,0.01,0.06,0.03
209,10549,EMERON LOVELY WHITE GLOWY BRIGHT 100 ML,19:00-21:00,PCS,0.33,0.33,0.33
207,10549,EMERON LOVELY WHITE GLOWY BRIGHT 100 ML,15:00-17:00,PCS,0.01,0.61,0.11
206,10549,EMERON LOVELY WHITE GLOWY BRIGHT 100 ML,13:00-15:00,PCS,0.01,0.42,0.08
205,10549,EMERON LOVELY WHITE GLOWY BRIGHT 100 ML,11:00-13:00,PCS,0.01,0.17,0.07
208,10549,EMERON LOVELY WHITE GLOWY BRIGHT 100 ML,17:00-19:00,PCS,0.01,0.1,0.05
204,10549,EMERON LOVELY WHITE GLOWY BRIGHT 100 ML,09:00-11:00,PCS,0.01,0.07,0.04
203,10549,EMERON LOVELY WHITE GLOWY BRIGHT 100 ML,07:00-09:00,PCS,0.01,0.06,0.04
216,10550,EMERON LOVELY WHITE NATURE BRIGHT 100 ML,19:00-21:00,PCS,0.5,0.5,0.5
214,10550,EMERON LOVELY WHITE NATURE BRIGHT 100 ML,15:00-17:00,PCS,0.01,0.26,0.09
212,10550,EMERON LOVELY WHITE NATURE BRIGHT 100 ML,11:00-13:00,PCS,0.01,0.17,0.07
213,10550,EMERON LOVELY WHITE NATURE BRIGHT 100 ML,13:00-15:00,PCS,0.01,0.17,0.06
215,10550,EMERON LOVELY WHITE NATURE BRIGHT 100 ML,17:00-19:00,PCS,0.01,0.12,0.06
210,10550,EMERON LOVELY WHITE NATURE BRIGHT 100 ML,07:00-09:00,PCS,0.01,0.04,0.03
211,10550,EMERON LOVELY WHITE NATURE BRIGHT 100 ML,09:00-11:00,PCS,0.01,0.03,0.02
221,10563,EMERON LOVELY WHITE INSTA BRIGHT 200 ML,15:00-17:00,PCS,0.04,0.5,0.2
222,10563,EMERON LOVELY WHITE INSTA BRIGHT 200 ML,17:00-19:00,PCS,0.04,0.54,0.16
217,10563,EMERON LOVELY WHITE INSTA BRIGHT 200 ML,07:00-09:00,PCS,0.08,0.25,0.15
220,10563,EMERON LOVELY WHITE INSTA BRIGHT 200 ML,13:00-15:00,PCS,0.04,0.25,0.11
218,10563,EMERON LOVELY WHITE INSTA BRIGHT 200 ML,09:00-11:00,PCS,0.08,0.08,0.08
219,10563,EMERON LOVELY WHITE INSTA BRIGHT 200 ML,11:00-13:00,PCS,0.04,0.04,0.04
223,10564,EMERON LOVELY WHITE GLOWY BRIGHT 200 ML,07:00-09:00,PCS,0.08,0.5,0.22
225,10564,EMERON LOVELY WHITE GLOWY BRIGHT 200 ML,13:00-15:00,PCS,0.04,0.62,0.2
224,10564,EMERON LOVELY WHITE GLOWY BRIGHT 200 ML,09:00-11:00,PCS,0.12,0.25,0.19
227,10564,EMERON LOVELY WHITE GLOWY BRIGHT 200 ML,17:00-19:00,PCS,0.04,0.54,0.19
226,10564,EMERON LOVELY WHITE GLOWY BRIGHT 200 ML,15:00-17:00,PCS,0.04,0.5,0.18
234,10565,EMERON LOVELY WHITE NATURE BRIGHT 200 ML,19:00-21:00,PCS,0.5,0.5,0.5
228,10565,EMERON LOVELY WHITE NATURE BRIGHT 200 ML,07:00-09:00,PCS,0.08,0.25,0.18
232,10565,EMERON LOVELY WHITE NATURE BRIGHT 200 ML,15:00-17:00,PCS,0.04,0.38,0.17
231,10565,EMERON LOVELY WHITE NATURE BRIGHT 200 ML,13:00-15:00,PCS,0.04,0.62,0.17
229,10565,EMERON LOVELY WHITE NATURE BRIGHT 200 ML,09:00-11:00,PCS,0.08,0.25,0.15
233,10565,EMERON LOVELY WHITE NATURE BRIGHT 200 ML,17:00-19:00,PCS,0.04,0.33,0.14
230,10565,EMERON LOVELY WHITE NATURE BRIGHT 200 ML,11:00-13:00,PCS,0.08,0.08,0.08
240,10566,EMERON LOVELY WHITE INSTA BRIGHT 500 ML,17:00-19:00,PCS,0.17,0.58,0.4
239,10566,EMERON LOVELY WHITE INSTA BRIGHT 500 ML,15:00-17:00,PCS,0.08,1,0.39
235,10566,EMERON LOVELY WHITE INSTA BRIGHT 500 ML,07:00-09:00,PCS,0.17,0.5,0.31
238,10566,EMERON LOVELY WHITE INSTA BRIGHT 500 ML,13:00-15:00,PCS,0.08,1,0.29
241,10566,EMERON LOVELY WHITE INSTA BRIGHT 500 ML,19:00-21:00,PCS,0.25,0.25,0.25
236,10566,EMERON LOVELY WHITE INSTA BRIGHT 500 ML,09:00-11:00,PCS,0.08,0.42,0.22
237,10566,EMERON LOVELY WHITE INSTA BRIGHT 500 ML,11:00-13:00,PCS,0.08,0.08,0.08
247,10567,EMERON LOVELY WHITE GLOWY BRIGHT 500 ML,17:00-19:00,PCS,0.08,0.83,0.43
246,10567,EMERON LOVELY WHITE GLOWY BRIGHT 500 ML,15:00-17:00,PCS,0.08,1.25,0.43
242,10567,EMERON LOVELY WHITE GLOWY BRIGHT 500 ML,07:00-09:00,PCS,0.08,0.75,0.33
245,10567,EMERON LOVELY WHITE GLOWY BRIGHT 500 ML,13:00-15:00,PCS,0.08,0.83,0.31
243,10567,EMERON LOVELY WHITE GLOWY BRIGHT 500 ML,09:00-11:00,PCS,0.08,0.25,0.19
244,10567,EMERON LOVELY WHITE GLOWY BRIGHT 500 ML,11:00-13:00,PCS,0.08,0.08,0.08
249,10568,EMERON LOVELY WHITE NATURE BRIGHT 500 ML,09:00-11:00,PCS,0.67,0.67,0.67
251,10568,EMERON LOVELY WHITE NATURE BRIGHT 500 ML,15:00-17:00,PCS,0.08,0.92,0.49
252,10568,EMERON LOVELY WHITE NATURE BRIGHT 500 ML,17:00-19:00,PCS,0.17,0.83,0.39
250,10568,EMERON LOVELY WHITE NATURE BRIGHT 500 ML,13:00-15:00,PCS,0.08,0.75,0.33
248,10568,EMERON LOVELY WHITE NATURE BRIGHT 500 ML,07:00-09:00,PCS,0.17,0.5,0.29
258,10573,ZINC SHAMPOO HAIRFALL TRT BTL 170ML,19:00-21:00,PCS,0.58,0.58,0.58
256,10573,ZINC SHAMPOO HAIRFALL TRT BTL 170ML,15:00-17:00,PCS,0.04,0.5,0.18
255,10573,ZINC SHAMPOO HAIRFALL TRT BTL 170ML,13:00-15:00,PCS,0.04,0.29,0.18
